name,email,phone,city
Пётр,petr@mail.ru,+79990001122,Казань
Иван,ivan@mail.ru,+79991234567,Москва
Пётр,petr@mail.ru,+79990001122,Казань
Алексей Орлов,alexey@mail.ru,+79991112233,Москва
Ксения Белова,ksenia@mail.ru,+79992223344,Казань
Виктор Гусев,viktor@mail.ru,+79993334455,Сочи
Наталья Зайцева,natalia@mail.ru,+79994445566,Новосибирск
Роман Павлов,roman@mail.ru,+79995556677,Санкт-Петербург
Екатерина,qw@mail.com,+79594856545,Анапа
Пётр,petr@mail.ru,+79990001122,Казань
Иван,ivan@mail.ru,+79991234567,Москва
Пётр,petr@mail.ru,+79990001122,Казань
Алексей Орлов,alexey@mail.ru,+79991112233,Москва
Ксения Белова,ksenia@mail.ru,+79992223344,Казань
Виктор Гусев,viktor@mail.ru,+79993334455,Сочи
Наталья Зайцева,natalia@mail.ru,+79994445566,Новосибирск
Роман Павлов,roman@mail.ru,+79995556677,Санкт-Петербург
Екатерина,qw@mail.com,+79594856545,Анапа
